                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2505,                0.86049,                 1.2134,                0.81492,                0.61778,                0.68594,                0.49359,                 1.2303,                0.85451,                 1.2905,               0.007492,               0.007492,               0.007492
                     78,                 1.2478,                0.86036,                 1.2109,                0.81853,                0.61735,                0.68662,                0.49365,                 1.2297,                0.85357,                 1.2899,               0.007459,               0.007459,               0.007459
                     79,                 1.2427,                0.85376,                 1.2116,                0.81962,                0.61302,                0.68713,                0.49526,                 1.2286,                0.85152,                 1.2889,               0.007426,               0.007426,               0.007426
                     80,                  1.246,                 0.8508,                 1.2116,                0.82274,                0.61188,                0.68789,                0.49754,                 1.2274,                0.85012,                 1.2874,               0.007393,               0.007393,               0.007393
                     81,                 1.2405,                0.85535,                 1.2074,                0.82069,                0.61281,                0.68847,                0.49761,                 1.2265,                0.84983,                 1.2863,                0.00736,                0.00736,                0.00736
                     82,                 1.2413,                 0.8516,                 1.2074,                0.82019,                0.61279,                0.68924,                0.49619,                 1.2257,                0.84855,                 1.2852,               0.007327,               0.007327,               0.007327
                     83,                 1.2432,                0.84773,                 1.2009,                0.82359,                0.60917,                0.68922,                0.49735,                 1.2251,                0.84808,                 1.2845,               0.007294,               0.007294,               0.007294
                     84,                 1.2396,                0.85167,                 1.1986,                0.82287,                0.60849,                0.69004,                0.49731,                  1.224,                 0.8467,                 1.2833,               0.007261,               0.007261,               0.007261
                     85,                 1.2397,                 0.8472,                 1.1995,                0.77838,                0.64055,                0.69111,                0.49776,                  1.223,                0.84618,                 1.2824,               0.007228,               0.007228,               0.007228
                     86,                 1.2355,                0.84185,                 1.1967,                0.77757,                0.64448,                0.69155,                0.49832,                 1.2212,                0.84479,                 1.2812,               0.007195,               0.007195,               0.007195
